#chr	gene_start	gene_end	strand	gene_name	promoter_start	promoter_end
chr1	11869	14412	+	DDX11L1	10869	12369
chr1	14363	29806	-	WASH7P	29306	30806
chr1	29554	31109	+	MIR1302-11	28554	30054
chr1	34554	36081	-	FAM138A	35581	37081
chr1	52473	54936	+	OR4G4P	51473	52973
chr1	62948	63887	+	OR4G11P	61948	63448
chr1	69091	70008	+	OR4F5	68091	69591
chr1	89295	133566	-	RP11-34P13.7	133066	134566
chr1	89551	91105	-	RP11-34P13.8	90605	92105
chr1	131025	134836	+	CICP27	130025	131525
chr1	135141	135895	-	RP11-34P13.15	135395	136895
chr1	137682	137965	-	RP11-34P13.16	137465	138965
chr1	139790	140339	-	RP11-34P13.14	139839	141339
chr1	141474	173862	-	RP11-34P13.13	173362	174862
chr1	160446	161525	+	RP11-34P13.9	159446	160946
chr1	227615	267253	-	AP006222.2	266753	268253
chr1	228292	228775	-	AP006222.1	228275	229775
chr1	317720	453948	+	RP4-669L17.10	316720	318220
chr1	326096	328112	+	RP4-669L17.8	325096	326596
chr1	329431	332236	-	CICP7	331736	333236
chr1	334126	334305	+	RP4-669L17.4	333126	334626
chr1	367640	368634	+	OR4F29	366640	368140
chr1	379105	379467	-	WBP1LP7	378967	380467
chr1	453633	460480	-	RP4-669L17.2	459980	461480
chr1	459656	461954	+	RP5-857K21.15	458656	460156
chr1	470971	471355	+	RP4-669L17.1	469971	471471
chr1	521369	523833	-	RP5-857K21.1	523333	524833
chr1	523009	530148	+	RP5-857K21.2	522009	523509
chr1	529833	532878	-	RP5-857K21.3	532378	533878
chr1	536816	659930	-	RP5-857K21.4	659430	660930
chr1	562757	564390	-	RP5-857K21.5	563890	565390
chr1	564442	564813	+	MTND1P23	563442	564942
chr1	565020	566063	+	MTND2P28	564020	565520
chr1	566454	567996	+	hsa-mir-6723	565454	566954
chr1	568137	568818	+	RP5-857K21.7	567137	568637
chr1	568915	569121	+	MTATP8P1	567915	569415
chr1	569076	569756	+	MTATP6P1	568076	569576
chr1	569756	570302	+	RP5-857K21.11	568756	570256
chr1	610222	610645	+	WBP1LP6	609222	610722
chr1	621059	622053	-	OR4F16	621553	623053
chr1	657472	660283	+	CICP3	656472	657972
chr1	661611	663527	-	RP11-206L10.1	663027	664527
chr1	677193	685396	-	RP11-206L10.3	684896	686396
chr1	694412	700305	-	RP11-206L10.5	699805	701305
chr1	696291	697369	+	RP11-206L10.4	695291	696791
chr1	700237	714006	-	RP11-206L10.2	713506	715006
chr1	714150	745440	+	RP11-206L10.9	713150	714650
chr1	736259	745541	-	RP11-206L10.8	745041	746541
chr1	745489	753092	-	RP11-206L10.10	752592	754092
chr1	752751	755214	+	FAM87B	751751	753251
chr1	761586	762902	-	LINC00115	762402	763902
chr1	762988	794826	+	RP11-206L10.11	761988	763488
chr1	803451	812283	-	FAM41C	811783	813283
chr1	808672	809729	+	TUBB8P11	807672	809172
chr1	840214	851356	+	RP11-54O7.16	839214	840714
chr1	846815	850328	+	RP11-54O7.1	845815	847315
chr1	849551	850351	+	RP11-54O7.2	848551	850051
chr1	852245	856396	-	RP11-54O7.3	855896	857396
chr1	860260	879955	+	SAMD11	859260	860760
chr1	879584	894689	-	NOC2L	894189	895689
chr1	895967	901095	+	KLHL17	894967	896467
chr1	901877	911245	+	PLEKHN1	900877	902377
chr1	910579	917497	-	C1orf170	916997	918497
chr1	931346	933431	-	RP11-54O7.17	932931	934431
chr1	934342	935552	-	HES4	935052	936552
chr1	943456	943609	-	RP11-54O7.10	943109	944609
chr1	947377	948573	-	RP11-54O7.11	948073	949573
chr1	948803	949920	+	ISG15	947803	949303
chr1	955503	991496	+	AGRN	954503	956003
chr1	990413	991496	+	RP11-54O7.14	989413	990913
chr1	995114	1004735	+	RP11-465B22.3	994114	995614
chr1	997588	998668	-	RP11-54O7.18	998168	999668
chr1	1006346	1009687	-	RNF223	1009187	1010687
chr1	1017198	1051741	-	C1orf159	1051241	1052741
chr1	1072397	1079436	+	RP11-465B22.5	1071397	1072897
chr1	1104737	1105723	+	RP11-465B22.8	1103737	1105237
chr1	1108436	1114935	-	TTLL10-AS1	1114435	1115935
chr1	1109264	1133315	+	TTLL10	1108264	1109764
chr1	1138888	1142071	-	TNFRSF18	1141571	1143071
chr1	1146706	1149518	-	TNFRSF4	1149018	1150518
chr1	1152288	1167411	-	SDF4	1166911	1168411
chr1	1167629	1170421	+	B3GALT6	1166629	1168129
chr1	1177826	1182102	-	FAM132A	1181602	1183102
chr1	1185157	1186714	-	RP5-902P8.12	1186214	1187714
chr1	1189289	1209265	-	UBE2J2	1208765	1210265
chr1	1210603	1215800	+	RP5-902P8.10	1209603	1211103
chr1	1215816	1227409	+	SCNN1D	1214816	1216316
chr1	1227756	1244989	-	ACAP3	1244489	1245989
chr1	1243947	1247057	+	PUSL1	1242947	1244447
chr1	1246965	1260071	-	CPSF3L	1259571	1261071
chr1	1252961	1254069	-	RP5-890O3.9	1253569	1255069
chr1	1260136	1264277	+	GLTPD1	1259136	1260636
chr1	1266694	1270686	+	TAS1R3	1265694	1267194
chr1	1270656	1284730	-	DVL1	1284230	1285730
chr1	1288069	1297157	-	MXRA8	1296657	1298157
chr1	1309110	1310875	-	AURKAIP1	1310375	1311875
chr1	1314046	1314412	+	RP5-890O3.3	1313046	1314546
chr1	1321091	1334708	-	CCNL2	1334208	1335708
chr1	1334902	1337426	+	RP4-758J18.2	1333902	1335402
chr1	1337288	1342693	-	MRPL20	1342193	1343693
chr1	1344476	1345998	+	RP4-758J18.13	1343476	1344976
chr1	1353800	1357149	-	ANKRD65	1356649	1358149
chr1	1355625	1358071	+	RP4-758J18.7	1354625	1356125
chr1	1361508	1363167	+	TMEM88B	1360508	1362008
chr1	1365919	1369953	-	RP4-758J18.10	1369453	1370953
chr1	1370241	1378262	+	VWA1	1369241	1370741
chr1	1385069	1405538	+	ATAD3C	1384069	1385569
chr1	1407143	1433228	+	ATAD3B	1406143	1407643
chr1	1447531	1470067	+	ATAD3A	1446531	1448031
chr1	1470554	1475833	-	TMEM240	1475333	1476833
chr1	1477053	1510249	-	SSU72	1509749	1511249
chr1	1533392	1535476	-	C1orf233	1534976	1536476
chr1	1549138	1551175	-	RP11-345P4.9	1550675	1552175
chr1	1550795	1565990	+	MIB2	1549795	1551295
chr1	1567474	1570639	+	MMP23B	1566474	1567974
chr1	1570603	1590473	-	CDK11B	1589973	1591473
chr1	1590786	1594063	+	RP11-345P4.10	1589786	1591286
chr1	1592939	1624167	-	SLC35E2B	1623667	1625167
chr1	1603429	1604850	+	RP11-345P4.7	1602429	1603929
chr1	1604714	1605836	+	RP11-345P4.6	1603714	1605214
chr1	1631369	1633249	+	MMP23A	1630369	1631869
chr1	1634169	1655766	-	CDK11A	1655266	1656766
chr1	1634175	1669127	-	RP1-283E3.8	1668627	1670127
chr1	1655951	1668690	+	RP1-283E3.4	1654951	1656451
chr1	1656277	1677431	-	SLC35E2	1676931	1678431
chr1	1682671	1711896	-	NADK	1711396	1712896
chr1	1716729	1822495	-	GNB1	1821995	1823495
chr1	1822910	1824097	+	RP1-140A9.1	1821910	1823410
chr1	1846266	1848735	+	CALML6	1845266	1846766
